perf	synth time
1	"0.018336049979552627,0.01724496786482632,0.016103781992569566,0.01635655714198947,0.016360299894586205,0.01622980902902782,0.016313830856233835,0.01660102792084217,0.01622293796390295,0.016052877996116877"
1	"0.05359945702366531,0.05228432500734925,0.0515577110927552,0.05119747086428106,0.05439157783985138,0.05239921994507313,0.05037031904794276,0.05162771791219711,0.049899626057595015,0.049182761926203966"
0	"0.018035237910225987,0.01788989081978798,0.018270803149789572,0.018123740097507834,0.01784566300921142,0.01787616405636072,0.017741775140166283,0.017539847176522017,0.018289851024746895,0.017675039125606418"
0	"0.018277622992172837,0.017211563885211945,0.016560380114242435,0.01626857789233327,0.016294684959575534,0.015968682011589408,0.0157722900621593,0.01572844502516091,0.01582799991592765,0.015991694992408156"
1	"0.020593041088432074,0.019834303064271808,0.018575933994725347,0.01868665893562138,0.019517348147928715,0.019658301025629044,0.019072637893259525,0.018782571889460087,0.018755628960207105,0.018795731011778116"
1	"0.018484281143173575,0.017902316991239786,0.017512314952909946,0.017517101019620895,0.01694172085262835,0.017716343980282545,0.017570856027305126,0.017661741003394127,0.017641742946580052,0.017607706831768155"
1	"0.05544805387035012,0.05193625180982053,0.04921713704243302,0.054111248813569546,0.0516264250036329,0.05067913304083049,0.049452182138338685,0.0494635330978781,0.05116693885065615,0.05117767793126404"
0	"0.01719606900587678,0.0184930800460279,0.016980163985863328,0.016791081055998802,0.01705111493356526,0.01670484384521842,0.016846953192725778,0.016745518893003464,0.016645580995827913,0.01706341397948563"
0	"0.15178942074999213,0.15413525607436895,0.1585225728340447,0.1535019821021706,0.15095393895171583,0.1649454920552671,0.15408219816163182,0.1580360650550574,0.15382667491212487,0.15712280524894595"
1	"0.016343799885362387,0.017459072172641754,0.017370532965287566,0.016936203930526972,0.0163751901127398,0.016625124029815197,0.01674737804569304,0.016516519943252206,0.01680423808284104,0.017263879999518394"
1	"0.01803959091193974,0.017564136069267988,0.01664317399263382,0.016896307934075594,0.016842701006680727,0.016586699988693,0.016612946055829525,0.016797472955659032,0.01590295508503914,0.015915085095912218"
1	"0.017721939831972122,0.01694042212329805,0.017060138983651996,0.016440805047750473,0.017105699982494116,0.016645567025989294,0.016833629924803972,0.016768396133556962,0.016399390064179897,0.017263901187106967"
1	"0.01682657399214804,0.01688996492885053,0.016475572949275374,0.016061750007793307,0.01608270197175443,0.016332065919414163,0.015913995914161205,0.01647440018132329,0.01651153597049415,0.01675298693589866"
0	"0.1982094009872526,0.19558975123800337,0.19974980503320694,0.19930709223262966,0.19264676980674267,0.2027184588368982,0.20176395284943283,0.20849374285899103,0.2012740820646286,0.19985320582054555"
0	"0.01921084406785667,0.01779564912430942,0.017892339965328574,0.01797123486176133,0.018317064037546515,0.017522735986858606,0.018163186963647604,0.017898994963616133,0.01763527002185583,0.017853860976174474"
0	"0.018970899982377887,0.01811743783764541,0.017095274990424514,0.017697816947475076,0.017829786986112595,0.017488426063209772,0.017785554053261876,0.01721952180378139,0.01681028283201158,0.017109581967815757"
1	"0.01721933693625033,0.017828128999099135,0.017109594075009227,0.01665454008616507,0.017002470092847943,0.016190670896321535,0.016331983031705022,0.01651303400285542,0.016738465055823326,0.016563904006034136"
0	"0.018720331136137247,0.019284422043710947,0.017950471956282854,0.017855380894616246,0.018029142869636416,0.017840255983173847,0.01804531691595912,0.01803928194567561,0.01776626892387867,0.03197979088872671"
0	"0.019031665986403823,0.01782870083115995,0.01782631315290928,0.01791810686700046,0.017440910916775465,0.017814632039517164,0.017750038066878915,0.017905330983921885,0.01787306205369532,0.01745064603164792"
1	"0.01863907021470368,0.01745179179124534,0.016862737014889717,0.017223423812538385,0.016323517076671124,0.01646233582869172,0.016618060879409313,0.016378910979256034,0.017025417182594538,0.016231587156653404"
1	"0.316160568036139,0.3167055279482156,0.31627334374934435,0.3151894169859588,0.3176195619162172,0.32304652989842,0.3181888668332249,0.3294928390532732,0.3214581592474133,0.31486297002993524"
0	"0.01844440191052854,0.01865244982764125,0.01781724882312119,0.017854133155196905,0.01741824997588992,0.01676774607039988,0.017757540103048086,0.01784345111809671,0.017626142129302025,0.017922066850587726"
1	"0.02420725696720183,0.023295501014217734,0.022771745920181274,0.0228529900778085,0.021825967822223902,0.021810956997796893,0.022621067939326167,0.022321522003039718,0.02139653405174613,0.02140384796075523"
1	"0.021171872969716787,0.019259948981925845,0.01854987908154726,0.018841869896277785,0.01788978883996606,0.018074919003993273,0.0188730638474226,0.019036509096622467,0.01842169207520783,0.018730172887444496"
